wknr_2021;wkme_2021;land;z;wk_gewinner_party;wk_gewinner_share;wk_gewinner_mh;wk_zweiter;wk_zweiter_party;wk_zweiter_share;wk_zweiter_mh;Quelle;Abgerufen am
151;Nordsachsen;Sachsen;Bochmann René;AfD;27,80;0;Dr Schenderlein Christiane ;CDU;22,80;0;;
152;Leipzig I;Sachsen;Lehmann Jens;CDU;20,50;0;Mann Holger;SPD;20,20;0;;
153;Leipzig II;Sachsen;Pellmann Sören;LINKE;22,80;0;Dr Piechotta Paula Louise;Grüne;18,40;0;;
154;Leipzig-Land;Sachsen;ujok Edgar;AfD;24,60;0;von Breitenbuch Georg-Ludwig;CDU;24,40;0;https://www.georg-ludwigvonbreitenbuch.de/ueber-mich-1/vita;1.2.2023 13:56:00
155;MeiÃŸen;Sachsen;Lenk Barbara;AfD;31,00;0;Fischer Sebastian;CDU;22,30;0;https://www.landtag.sachsen.de/de/abgeordnete/abgeordnetensuche/abgeordneter?id=851&searchvalue=&searchwithdistrict=False&searchinactiverepresentatives=False;1.2.2023 13:59:00
156;Bautzen I;Sachsen;Hilse Karsten;AfD;33,40;0;Ermer Roland Albert;CDU;26,00;0;https://www.wochenkurier.info/bautzen/artikel/cdu-nominiert-roland-ermer-fuer-den-bundestag;1.2.2023 14:01:00
157;GÃ¶rlitz;Sachsen;Chrupalla Tino;AfD;35,80;0;Oest Florian;CDU;26,10;0;https://www.florianoest.de/ueber-mich-1;1.2.2023 14:02:00
158;SÃ¤chsische Schweiz-Osterzgebirge;Sachsen;Janich Steffen;AfD;33,00;0;Dr Franke-Wöller Corin ;CDU;19,20;;;
159;Dresden I;Sachsen;Dr Reichel Markus;CDU;21,10;0;Kipping Katja;LINKE;18,90;0;;
160;Dresden II â€“ Bautzen II;Sachsen;Rohwer Lars;CDU;18,60;0;Harlaß Andreas;AfD;18,60;0;https://andreas-harlass.de/;1.2.2023 14:06:00
161;Mittelsachsen;Sachsen;Bachmann Carolin;AfD;33,40;0;Bellmann Veronika Maria;CDU;23,80;0;;
162;Chemnitz;Sachsen;Müller Detlef;SPD;25,10;0;Klonovsky Michael ;AfD;21,90;;;
